ev_id,damage,cert_max_gr_wt,afm_hrs_last_insp,apt_elev,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wind_vel_kts,altimeter,ev_highest_injury,dec_latitude,dec_longitude,crew_age,severity_class,ev_nr_apt_loc_OFAP,ev_nr_apt_loc_ONAP,light_cond_DAWN,light_cond_DAYL,light_cond_DUSK,light_cond_NBRT,light_cond_NDRK,light_cond_NITE,light_cond_NR,sky_cond_nonceil_CLER,sky_cond_nonceil_FEW,sky_cond_nonceil_OVCT,sky_cond_nonceil_SCAT,sky_cond_ceil_BKN,sky_cond_ceil_OVC,sky_cond_ceil_VV,wx_cond_basic_IMC,wx_cond_basic_Unk,wx_cond_basic_VMC,crew_no_1,crew_no_2,crew_no_3,med_certf_BASC,med_certf_CL1,med_certf_CL2,med_certf_CL3,med_certf_SPRT,med_crtf_vldty_WOWL,med_crtf_vldty_WTLS,med_crtf_vldty_WWL,crew_tox_perf_N,crew_tox_perf_Y
20140108X92403,0,0.012294151462013729,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,0.32432432432432434,0.22580645161290322,0.576530865459004,1,0.40908917683378343,0.5973866263095816,0.4736842105263158,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20210913103846,1,0.009323266138187227,0.005339381060111403,0.08695652173913043,0.1,0.0,0.25,0.7837837837837838,0.1935483870967742,0.5153059784644913,1,0.9065725276528014,0.10911364563543469,0.39473684210526316,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
20130826X24422,1,0.012777222246375761,0.005339381060111403,0.10381543921916592,0.0,0.0,0.25,0.7837837837837838,0.16129032258064516,0.6734688912568547,0,0.7278461851601707,0.46049019399765206,0.75,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20190819X74817,1,0.017366394697815066,0.014446686547711819,0.03401360544217687,0.0,0.0,0.25,0.7837837837837838,0.0967741935483871,0.5510200904043838,2,0.6754234594990709,0.5261609130997572,0.09210526315789472,5,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
20130220X12251,1,0.016158717736909987,0.005339381060111403,0.08182983338262842,0.0,0.0,0.25,0.945945945945946,0.12903225806451613,0.683673201278701,1,0.6017464253734333,0.4114335940757735,0.5263157894736842,4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20221011106098,1,0.01350182842291881,0.011964499093313954,0.12530809425219364,0.0,0.0,0.25,0.7837837837837838,0.1935483870967742,0.6581633993606477,1,0.6374656687281162,0.48739353479916003,0.5263157894736842,4,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
20090325X92145,1,0.017366394697815066,0.008910873408189997,0.02129547471162378,0.08,0.0,0.17500000000000002,0.7837837837837838,0.3225806451612903,0.5663265554371559,1,0.5814300488759311,0.5050719468004697,0.35526315789473684,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
20090925X04301,2,0.012294151462013729,0.02051822353944543,0.021689835354431627,0.01,0.01,0.17500000000000002,0.7837837837837838,0.22580645161290322,0.576530865459004,1,0.5932968134877066,0.4497269005915623,0.5657894736842105,7,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
20080613X00850,1,0.06280886338275148,0.005339381060111403,0.06743566992014197,0.0,0.01,0.05,0.8108108108108109,0.22580645161290322,0.33163326375406754,1,0.7427241852885984,0.5369026164357968,0.18421052631578946,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
20120514X33812,1,0.013984899207280842,0.005339381060111403,0.08695652173913043,0.15333333333333335,0.0,0.25,0.7837837837837838,0.1935483870967742,0.6428569343278809,1,0.6507136220815803,0.41488985808012635,0.5,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20181030X42259,1,0.012294151462013729,0.004446507973091754,0.0813368825791186,0.0,0.0,0.25,0.7837837837837838,0.3225806451612903,0.6683677093824958,2,0.7000181287439777,0.27475443819337086,0.5789473684210527,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
20140211X74725,1,0.011318348477602422,0.008910873408189997,0.06704130927733412,0.0,0.0,0.25,0.7837837837837838,0.1935483870967742,0.5561222454153096,1,0.6019109880052916,0.4147666138390418,0.32894736842105265,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
20090730X12915,0,0.6521214053495258,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,0.32432432432432434,0.22580645161290322,0.576530865459004,1,0.649459123266218,0.5038317714611427,0.4736842105263158,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20180618X32527,1,0.006352380814360728,0.005339381060111403,0.07759045647244404,0.0,0.0,0.25,0.7837837837837838,0.12903225806451613,0.6326526243060311,1,0.6404180218631745,0.5027125937086425,0.631578947368421,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
20210825103754,1,0.015385804481930736,0.011589492669248943,0.5106970324361628,0.0,0.0,0.25,0.7837837837837838,0.22580645161290322,0.6734688912568547,1,0.7398059037663636,0.36064583887623614,0.6842105263157895,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20210623103320,1,0.01321198595230159,0.007482276468958559,0.38154392191659275,0.0,0.25,0.25,0.7837837837837838,0.16129032258064516,0.6530612443497255,1,0.7802743804455836,0.32049341209411597,0.5131578947368421,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20200317X65851,1,0.016400253129091002,0.002125037946840667,0.08695652173913043,0.0,0.05333333333333334,0.25,0.7837837837837838,0.0967741935483871,0.6683677093824958,1,0.6363045583177663,0.5146995537057375,0.5789473684210527,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
20150619X71456,1,0.012777222246375761,0.005339381060111403,0.3106575963718821,0.0,0.0,0.25,0.7837837837837838,0.45161290322580644,0.576530865459004,1,0.772625555127376,0.31920829812234397,0.21052631578947364,4,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
20180723X90643,1,0.011569545285470679,0.005339381060111403,0.6983141082519964,0.0,0.0,0.25,0.7837837837837838,0.3548387096774194,0.7193873132186006,1,0.6860917445163364,0.3725902122937387,0.618421052631579,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20220812105727,1,0.012294151462013729,0.005339381060111403,0.0639850142955733,0.23333333333333334,0.6666666666666667,0.25,0.7837837837837838,0.0967741935483871,0.5051016684426397,0,0.9415887959346751,0.1325442525153292,0.18421052631578946,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
20090918X64411,2,0.006497302049669338,0.005339381060111403,0.09504091491669131,0.0,0.0,0.5,0.7837837837837838,0.3225806451612903,0.5561222454153096,1,0.6678596503089489,0.42249736778104086,0.7368421052631579,7,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20130826X75643,1,0.012294151462013729,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,0.7837837837837838,0.4193548387096774,0.5000004865682808,1,0.6311925724002521,0.31269948001547776,0.3026315789473685,4,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
20200912X53150,1,0.010361868324565598,0.005339381060111403,0.09957606230898156,0.0,0.05666666666666667,0.25,0.7837837837837838,0.22580645161290322,0.6428569343278809,0,0.6538757165504039,0.43270284744510856,0.5394736842105263,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20130916X32616,1,0.016158717736909987,0.001410739477224948,0.4134871339840284,0.0,0.0,0.25,0.7837837837837838,0.0967741935483871,0.5306124434972563,1,0.7739830981105272,0.32443199116284926,0.3157894736842105,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20130729X62737,1,0.0063717036457352095,0.005339381060111403,0.04939367051168293,0.0,0.043333333333333335,0.25,0.7837837837837838,0.16129032258064516,0.5867351754808503,1,0.7683061315949749,0.272686517763452,0.6710526315789473,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
20160622X93331,1,0.013980068499437222,0.005339381060111403,0.11002661934338953,0.0,0.0,0.25,0.7837837837837838,0.22580645161290322,0.6224492874207481,0,0.7314196269708321,0.45350520168137604,0.7105263157894737,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20220528105142,2,0.02171403175707336,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,0.7837837837837838,0.22580645161290322,0.5510200904043838,1,0.6583757561607518,0.4489661446289058,0.35526315789473684,7,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
20240308193899,1,0.013260293030737794,0.0005178663902052994,0.05944986690328305,0.0,0.0,0.25,0.9324324324324325,0.3225806451612903,0.7193873132186006,1,0.7029923702492562,0.5341729426075028,0.32894736842105265,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
20210407102887,1,0.011762773599215492,0.0023571849835261807,0.022971507443557134,0.0,0.11666666666666667,0.25,0.7837837837837838,0.25806451612903225,0.6428569343278809,1,0.5731145513885224,0.506812393796354,0.052631578947368446,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
20100310X70829,1,0.005869310029998695,0.003553634886072105,0.03499950704919649,0.0,0.0,0.25,0.7837837837837838,0.12903225806451613,0.6224492874207481,1,0.6603150835336034,0.5219973524094879,0.6973684210526315,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
20081009X65858,1,0.011086474501108647,0.005339381060111403,0.04702750665483585,0.16666666666666669,0.2,0.25,0.972972972972973,0.22580645161290322,0.4489799095956126,1,0.7355772523024354,0.5608484282889428,0.368421052631579,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20150628X90626,2,0.017612760797839706,0.005339381060111403,0.08695652173913043,0.0,0.02666666666666667,0.225,0.7837837837837838,0.29032258064516125,0.41326579765571303,1,0.7164922521290661,0.5567881360323967,0.5,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
20130616X52756,1,0.012294151462013729,0.005875104912323192,0.3802622498274672,0.0,0.0,0.25,0.32432432432432434,0.0967741935483871,0.576530865459004,1,0.745598314897606,0.3162065738789952,0.13157894736842105,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
